date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2021-10-30,5275.0,743.0,0.7389099114536646,0.72557706274552,2021,10,5,1,5413.0,5537.0,6238.0,5278.571428571428,5502.642857142857,277.6369674850461
2021-10-31,4565.0,730.0,0.7197523042516404,0.7121105227464345,2021,10,6,1,5275.0,4843.0,5416.0,5238.857142857143,5441.857142857143,358.44917285971815
2021-11-01,4417.0,646.0,0.7218518502134403,0.7163326440196379,2021,11,0,0,4565.0,4947.0,5352.0,5163.142857142857,5375.071428571428,469.2289521372437
2021-11-02,5430.0,730.0,0.7484489671520128,0.7421890340110766,2021,11,1,0,4417.0,5514.0,6122.0,5151.142857142857,5325.642857142857,459.73884926533634
2021-11-03,5376.0,683.0,0.7537200730053875,0.7498627391831965,2021,11,2,0,5430.0,5546.0,5931.0,5126.857142857143,5286.0,439.446404988309
2021-11-04,5280.0,677.0,0.7514017018668648,0.7495454549955274,2021,11,3,0,5376.0,5412.0,5965.0,5108.0,5237.071428571428,427.8504411590643
2021-11-05,5307.0,648.0,0.7468954358419031,0.7430467255356218,2021,11,4,0,5280.0,5413.0,5764.0,5092.857142857143,5204.428571428572,416.9945757326852
2021-11-06,5164.0,631.0,0.7355564003029187,0.7253657246183401,2021,11,5,1,5307.0,5275.0,5537.0,5077.0,5177.785714285715,410.980940352882
2021-11-07,4743.0,679.0,0.7260157457928798,0.7144901332859922,2021,11,6,1,5164.0,4565.0,4843.0,5102.428571428572,5170.642857142857,378.2234159606704
2021-11-08,4904.0,742.0,0.7320737259463633,0.7217189846623236,2021,11,0,0,4743.0,4417.0,4947.0,5172.0,5167.571428571428,256.25443085601415
2021-11-09,5771.0,672.0,0.7487563295705996,0.7476119127076191,2021,11,1,0,4904.0,5430.0,5514.0,5220.714285714285,5185.928571428572,334.0717060182013
2021-11-10,5582.0,705.0,0.7602761095259266,0.7578527046655004,2021,11,2,0,5771.0,5376.0,5546.0,5250.142857142857,5188.5,358.2305721977813
2021-11-11,5559.0,705.0,0.7551822103820184,0.7563581226808864,2021,11,3,0,5582.0,5280.0,5412.0,5290.0,5199.0,377.1286252726081
2021-11-12,5608.0,759.0,0.7561003343818297,0.7534071964272194,2021,11,4,0,5559.0,5307.0,5413.0,5333.0,5212.928571428572,396.07406714738875
2021-11-13,5628.0,635.0,0.7362072962941298,0.731578557223831,2021,11,5,1,5608.0,5164.0,5275.0,5399.285714285715,5238.142857142857,401.8613833507512
2021-11-14,5053.0,628.0,0.7228525514586983,0.7187184559493878,2021,11,6,1,5628.0,4743.0,4565.0,5443.571428571428,5273.0,327.7269479016956
2021-11-15,5230.0,600.0,0.7355330850362968,0.7237953330790025,2021,11,0,0,5053.0,4904.0,4417.0,5490.142857142857,5331.071428571428,252.8909043912379
2021-11-16,6423.0,687.0,0.7604662160533593,0.7494675412367676,2021,11,1,0,5230.0,5771.0,5430.0,5583.285714285715,5402.0,430.9554169848443
2021-11-17,6247.0,818.0,0.7678817664427656,0.7598551253722067,2021,11,2,0,6423.0,5582.0,5376.0,5678.285714285715,5464.214285714285,498.610641110458
2021-11-18,6418.0,759.0,0.7636829643865666,0.7591610147090868,2021,11,3,0,6247.0,5559.0,5280.0,5801.0,5545.5,565.5693296729221
2021-11-19,6013.0,750.0,0.7593341144999903,0.7518462345195771,2021,11,4,0,6418.0,5608.0,5307.0,5858.857142857143,5595.928571428572,563.2457807421392
2021-11-20,6012.0,686.0,0.742176886137568,0.7314282707954551,2021,11,5,1,6013.0,5628.0,5164.0,5913.714285714285,5656.5,555.6628816964932
2021-11-21,5480.0,683.0,0.7342482056938588,0.7177454201063763,2021,11,6,1,6012.0,5053.0,4743.0,5974.714285714285,5709.142857142857,460.7601379914697
